article,general_summary,requirement
1,"General Summary:
This article outlines the rules and regulations set forth by the GDPR for the protection of personal data and the free movement of such data within the European Union. It emphasizes the importance of safeguarding the fundamental rights and freedoms of individuals, particularly their right to data protection.","1. Ensure compliance with rules regarding the processing of personal data.
2. Protect the fundamental rights and freedoms of natural persons.
3. Allow for the free movement of personal data within the EU without restrictions or prohibitions related to data protection concerns."
2,"General Summary:
The article outlines the scope of the GDPR, specifying that it applies to the processing of personal data by automated means or non-automated means forming part of a filing system. It also lists exceptions where the GDPR does not apply, such as personal data processing falling outside Union law activities or for personal/household activities.","- Ensure that personal data processing is done in compliance with the GDPR when using automated means or when personal data is part of a filing system.
- Be aware of the exceptions where the GDPR does not apply, such as personal data processing outside Union law activities or for personal/household activities."
3,"General Summary:
The article outlines the scope of the GDPR, specifying that it applies to the processing of personal data within the activities of an establishment in the EU, regardless of where the processing occurs. It also extends to the processing of data of individuals in the EU by controllers or processors outside the EU if the processing relates to offering goods/services or monitoring behavior within the EU.","1. The GDPR applies to the processing of personal data within the activities of an establishment in the EU.
2. The GDPR also applies to the processing of personal data of individuals in the EU by controllers or processors outside the EU if the processing is related to offering goods/services or monitoring behavior within the EU.
3. Compliance is required even if the controller is not established in the EU but operates in a place where Member State law applies by public international law."
4,"This article defines key terms related to personal data and processing under the GDPR, such as personal data, processing, profiling, controller, processor, consent, and more.","- Organizations must ensure that personal data is processed in compliance with the definitions and principles outlined in the GDPR.
- Controllers and processors must clearly define their roles and responsibilities in processing personal data.
- Consent from data subjects must be freely given, specific, informed, and unambiguous.
- Organizations must implement measures to protect personal data from breaches and unauthorized access.
- Organizations must adhere to the GDPR's requirements for cross-border processing and relevant objections."
5,"The article outlines key principles for processing personal data under GDPR, emphasizing the importance of lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, and integrity/confidentiality. It also highlights the controller's responsibility for ensuring compliance with these principles.","1. Process personal data lawfully, fairly, and transparently.
2. Collect data for specified, legitimate purposes and avoid incompatible processing.
3. Minimize data to what is necessary for the intended purposes.
4. Maintain accurate data and rectify inaccuracies promptly.
5. Limit data retention to necessary periods, with exceptions for specific purposes.
6. Ensure appropriate security measures to protect personal data.
7. Demonstrate compliance with GDPR principles (accountability)."
6,"This article outlines the conditions under which processing of personal data is considered lawful under the GDPR. It specifies various scenarios where processing is allowed, such as with consent, for contractual obligations, legal compliance, protection of vital interests, public interest tasks, or legitimate interests. It also mentions that Member States can introduce specific provisions for processing under certain circumstances.","1. Processing must have the data subject's consent for specific purposes.
2. Processing must be necessary for performance of a contract or steps before entering into a contract.
3. Processing must comply with legal obligations.
4. Processing must protect vital interests of the data subject or another person.
5. Processing must be for public interest tasks or official authority.
6. Processing must be for legitimate interests, unless overridden by data subject's rights.
7. Member States can introduce specific provisions for processing under certain points.
8. The legal basis for processing must be laid down by Union law or Member State law.
9. The purpose of processing must be determined by the legal basis.
10. Consider compatibility of processing with the initial purpose of data collection.
11. Take into account various factors when assessing compatibility for further processing."
7,"General Summary:
This article focuses on the requirement for controllers to obtain valid consent from data subjects before processing their personal data. It outlines specific conditions for obtaining consent, such as ensuring it is freely given, specific, informed, and easily withdrawable.","- Controllers must be able to demonstrate that data subjects have consented to the processing of their personal data.
- Consent requests must be presented clearly and separately from other matters, using plain language.
- Data subjects have the right to withdraw consent at any time, without affecting the lawfulness of prior processing.
- Data subjects must be informed before giving consent, and it should be as easy to withdraw consent as it is to give it.
- Consent must be freely given, without being a condition for the performance of a contract or service."
8,"General Summary:
This article outlines the age requirements for processing personal data of children in the context of offering information society services. It specifies that if a child is at least 16 years old, their personal data can be processed lawfully. If the child is below 16 years old, processing is only lawful with consent from the parent or guardian, unless a Member State allows for a lower age not below 13 years.","1. Personal data of children can be processed lawfully if the child is at least 16 years old.
2. If the child is below 16 years old, processing requires consent from the parent or guardian.
3. Member States can set a lower age limit for processing personal data of children, but not below 13 years.
4. Controllers must make reasonable efforts to verify parental consent.
5. General contract law of Member States related to contracts with children is not affected by this article."
9,"This article outlines the prohibition on processing certain sensitive personal data such as racial or ethnic origin, political opinions, religious beliefs, genetic data, etc., unless specific conditions are met. It provides exceptions where processing may be allowed, such as explicit consent from the data subject, protection of vital interests, legal obligations, public interest reasons, and more.","- Explicit consent from the data subject for processing sensitive data.
- Processing necessary for legal obligations or exercising specific rights.
- Processing to protect vital interests of the data subject or another person.
- Processing by non-profit organizations with appropriate safeguards.
- Processing of publicly disclosed personal data.
- Processing for legal claims, preventive medicine, public health, etc.
- Processing for archiving, research, or statistical purposes.
- Processing by professionals subject to secrecy obligations.
- Member States may impose additional conditions on processing sensitive data."
10,"General Summary:
This article specifies that the processing of personal data related to criminal convictions and offenses must be done under the control of official authority or as authorized by specific laws that protect the rights of data subjects. It also emphasizes that any comprehensive register of criminal convictions should be maintained solely by official authorities.","- Processing of personal data related to criminal convictions and offenses must be under the control of official authority or authorized by relevant laws.
- Adequate safeguards for the rights and freedoms of data subjects must be in place during the processing.
- Comprehensive registers of criminal convictions should only be maintained by official authorities."
11,"General Summary:
This article states that if a controller no longer needs to identify a data subject for processing personal data, they are not required to maintain or acquire additional information for identification purposes under the GDPR. If the controller cannot identify the data subject, they must inform the individual, and certain GDPR articles may not apply unless the data subject provides additional information for identification.","1. Controllers are not obligated to maintain or acquire additional information for identifying data subjects if it is not necessary for processing.
2. If the controller cannot identify the data subject, they must inform the individual.
3. Certain GDPR articles may not apply unless the data subject provides additional information for identification."
